States,State Abbreviations,Economic,Landmass,Pop.in.1972,Pop.in.2022,Life.Expectancy,Infant.Mortality,Educational.Attainment,Aircraft.Movements,Official.Language,Continent
Aruba,AR,2.86E+09,180,59800,107657,76.29,12.698,11.1,274280,Dutch,South America
Barbados,BA,4.16E+09,430,241000,288017,79.19,11.4,1.1,298560.5,English,North America
Tuvalu,TU,7.00E+07,26,5786,12080,66.16,30.8,11.1,298560.5,Tuvaluan,Oceania
Singapore,SN,4.92E+11,728.6,2152000,5453600,83.9,0.8,33,7884373,English,Asia
SA Helena,SAH,47768924,121.7,5919,6127,78.6,16.98,11.1,298560.5,English,Africa
Kuwait,KU,2.48E+11,17818,870000,3068155,79.13,7.43,11.1,1823594,Arabic,Asia
Guyana,GU,1.21E+10,214969,721949,794128,67,25.12,11.1,17990,English,South America
Niue,NIU,24938000,261.5,4724,1648,73.6,0,11.1,298560.5,Niue,Oceania
Malta,MA,2.04E+10,316,302600,525285,82.6,6.1,21.8,549319,Maltese,Europe
Mayotte,MY,8.45E+09,374,40200,286145,60.6,65.98,11.1,298560.5,French,Africa
Macau,MC,2.52E+10,118,243900,666932,84.55,4.35,11.1,544411,Chinese,Asia
CotedIvoire,CI,1.40E+11,322462,5416000,28713423,62.26,55.67,11.1,322841,French,Africa
Dominica,DOM,773300000,750,72000,74027,77.4,0,5,298560.5,English,North America
Jersey,JR,672089,119.5,69329,103267,78.48,3.94,44,679000,English,Europe
Uganda,UG,1.03E+11,241038,9930000,46205893,68.96,30.45,1.7,6159,English,Africa
Mauritius,MAU,2.83E+10,2040,828000,1308222,74.86,12.08,11.1,407291,English,Africa
Samoa,SAM,1.28E+09,2831,146647,206179,75.19,18,3.9,11957,Samoan,Oceania
Nauru,NA,2.24E+11,21,6798,10960,59.7,23.8,11.1,9356,Nauruan,Oceania
Isle of Man,IM,86482,572,57166,86381,80.6,3.9,11.1,298560.5,English,Europe
St Lucia,SL,2.24E+09,617,104192,167122,78.95,11.99,11.1,298560.5,English,North America
Gibraltar,GI,2.04E+09,6.8,29000,33671,79.93,4.39,11.1,298560.5,English,Europe
Gambia,GM,5.41E+09,11300,492424,2173999,65.1,60.2,2,109542,English,Africa
Faroe Island,FI,54833,1393,48300,48865,79.85,5.4,11.1,298560.5,Faroese,Europe
Bhutan,BH,8.09E+09,38394,316822,867775,71.31,27.04,10.2,48825,Tsangla,Asia
Bermuda,BER,5525000,53.2,52976,61819,81.87,0,31.1,298560.5,English,North America
Qatar,QT,2.54E+11,11571,130505,2508182,79.81,6.62,19,10640789,Arabic,Asia
Luxembourg,LU,4.52E+10,2856,347000,650364,82.98,3.25,11.1,753114,French,Europe
Papua New Guinea,PNG,3.80E+10,462840,2918000,9593498,69.43,33.59,11.1,1501149,Tok Pisin,Oceania
Solomon Islands,SI,1.84E+09,28896,172550,702694,76.2,14.41,11.1,138661,English,Oceania
Suriname,SU,8.80E+09,163820,372000,632638,72.42,30.25,9.2,89027,Dutch,South America
Mongolia,MO,3.59E+10,1564000,1301400,3296866,68.63,13.4,23.7,143860,Mongolian,Asia
Hong Kong,HK,4.68E+11,1114,3936630,7276588,83.61,2.55,11.1,5878548,Chinese,Asia
Albania,AL,3.85E+10,28748,2243126,3095344,79.47,10.82,12.9,124714,Albanian,Europe
